German,English
ganze,whole
andere,other
getan,done
rein,purely
Diese,These
Moment,moment
bleiben,stay
brauchen,need
Weil,Because
unter,under
wegen,because of
geht's,it's
liebe,love
genug,enough
dabei,there
bringen,bring
Ihre,Your
gegen,versus
Weißt,know
Sag,say
schnell,fast
nun,now
eines,one
brauche,need
Abend,Eve
hatten,had
Jahre,years
Mach,Mach
Bruder,Brothers
Sache,Thing
hören,Listen
komm,come over
Sohn,son
seit,since
Morgen,tomorrow
drei,three
steht,stands
Scheiße,crap
mag,like
sei,be
unser,our
konnte,could
habt,have
Oder,Or
einmal,once
heißt,is called
Willst,Want
Kopf,head
Hilfe,Help
Familie,family
Geh,go
Dich,You
Sind,are
erst,first
fertig,finished
gefunden,found
seid,are
kam,came
nehmen,to take
morgen,tomorrow
sprechen,speak
Mir,Me
sofort,right away
Kann,can
Hat,Has
Jahren,years
seinen,his
Genau,I agree
Junge,Boy
Minuten,minutes
bevor,before
Stadt,city
beim,at the
sterben,to die
warst,were
Recht,Law
glauben,believe
Warte,Wait
darüber,about that
deiner,yours
deinem,your
Ende,The End
He,He
Dinge,things
Namen,names
wahr,true
Alle,All
allein,alone
Natürlich,Naturally
töten,kill
Nichts,Nothing
Wirklich,For real
bekommen,to get
Männer,Men
vergessen,to forget
Doch,But
dazu,to
gab,gave
später,later
wusste,knew
Augen,eyes
Dank,thanks
Freunde,friends
Jungs,guys
halten,hold
warten,waiting
Glück,happiness
beide,both
gute,quality
Dein,Your
kennen,know
Deine,Yours
n,n
Hi,Hi
Dr,Dr
Auto,automobile
sage,legend
gehe,go
komme,get
Dir,to you
mache,make
Von,Of
Uhr,Clock
sehe,see
Teufel,devil
sonst,otherwise
Art,kind
gern,gladly
Liebe,love
jeden,each
könnten,could
ihren,their
Halt,Stop
Fall,case
Dad,Dad
Film,Movie
bisschen,little
eigentlich,actually
weit,far
mach,mach
Gib,Give
vorbei,past
verstehe,understand
danke,thanks
drin,in it
Im,in the
Name,Surname
ganzen,all
Musik,music
würden,would
Tür,door
verrückt,insane
solltest,should
denken,think
Noch,Still
dran,tuned
Sieh,Look
lieber,rather
Den,The
leben,Life
Guten,good
Um,Around
darauf,thereon
Kein,No
stimmt,Right
Kerl,Guy
letzte,latest
Job,job
verloren,lost
wurden,were
kenne,know
Ahnung,idea
seiner,his
Grund,reason
toll,Great
Bis,To
Verdammt,Damn
bald,soon
bereit,ready
all,Alles
jemanden,someone
hinter,Behind
Schon,Nice
Sehr,Very
Hand,hand
darf,may
Dieser,This
Frauen,women
Euch,To you
Idee,idea
runter,down
Macht,Power
draußen,outside
lang,long
Land,country
lass,let
Typ,Type
hätten,had
egal,no matter
arbeiten,work
spät,late
stehen,stand
ok,OK
Gute,Quality
gekommen,came
Bei,at
etwa,approximately
essen,eat
kleine,small
jeder,everyone
Schwester,sister
Wasser,water
spielen,play
Geschichte,story
seinem,his
liegt,lies
sah,saw
Mom,Mom
Seite,page
wenig,little
ruhig,calm
Frage,question
meinst,mean
überhaupt,at all
fahren,drive
Ganz,All
Gehen,Walk
Essen,eat
Ruhe,Quiet
echt,real
versucht,tries
Tochter,daughter
Kommt,comes
Einen,a
ging,went
Jahr,year
braucht,need
fast,nearly
neue,new
geh,go
ziemlich,quite
anders,different
siehst,see
Polizei,police
Stunden,hours
musste,had to
Spiel,game
gewesen,been
gerne,with pleasure
finde,find
erzählt,tells
Tod,death
Ort,place
Chance,chance
bedeutet,means
War,was
sag,say
sagst,say
fragen,ask
letzten,last
sogar,even
ersten,first
Sachen,stuff
Wahrheit,truth
einzige,single
kurz,short
denen,to those
Kommen,Come
Spaß,fun
Nach,After
oben,above
Mama,mummy
schwer,heavy
Schule,school
je,ever
eben,just
Gesicht,face
bestimmt,certainly
treffen,to meet
niemand,no one
Woche,week
Entschuldigung,Sorry
Sorgen,To care
warte,wait
natürlich,Naturally
schlecht,bad
